nama_sekolah;coordinates;lon;lat
SMA NEGERI 1 BANDUNG;-6,89528135618637/ 107,61263833189044;-6,895281356;107,6126383
SMA NEGERI 2 BANDUNG;-6,889231804356902/ 107,60329325146118;-6,889231804;107,6032933
SMA NEGERI 3 BANDUNG;-6,912324152295664/ 107,61498222123384;-6,912324152;107,6149822
SMA NEGERI 4 BANDUNG;-6,919438364351069/ 107,59846975767826;-6,919438364;107,5984698
SMA NEGERI 5 BANDUNG;-6,912199550802743/ 107,61550020453579;-6,912199551;107,6155002
SMA NEGERI 6 BANDUNG;-6,91147814364317/ 107,5977805909982;-6,911478144;107,5977806
SMA NEGERI 7 BANDUNG;-6,923366629140856/ 107,61493584398768;-6,923366629;107,6149358
SMA NEGERI 8 BANDUNG;-6,938909481875827/ 107,62601926635638;-6,938909482;107,6260193
SMA NEGERI 9 BANDUNG;-6,90135526055079/ 107,5855790830395;-6,901355261;107,5855791
SMA NEGERI 10 BANDUNG;-6,902644252079455/ 107,64338259894821;-6,902644252;107,6433826
SMA NEGERI 11 BANDUNG;-6,940756912234431/ 107,61040778976991;-6,940756912;107,6104078
SMA NEGERI 12 BANDUNG;-6,941332985744745/ 107,64620208125652;-6,941332986;107,6462021
SMA NEGERI 13 BANDUNG;-6,903358551427433/ 107,56495483755997;-6,903358551;107,5649548
SMA NEGERI 14 BANDUNG;-6,90304777817885/ 107,63590656111253;-6,903047778;107,6359066
SMA NEGERI 15 BANDUNG;-6,878192998666518/ 107,57430717405447;-6,878192999;107,5743072
SMA NEGERI 16 BANDUNG;-6,926499501537304/ 107,6568007053893;-6,926499502;107,6568007
SMA NEGERI 17 BANDUNG;-6,942445852332397/ 107,57519867369479;-6,942445852;107,5751987
SMA NEGERI 18 BANDUNG;-6,938440355437242/ 107,5852490727131;-6,938440355;107,5852491
SMA NEGERI 19 BANDUNG;-6,873740170448327/ 107,61629688692695;-6,87374017;107,6162969
SMA NEGERI 20 BANDUNG;-6,90448207328268/ 107,62229696954512;-6,904482073;107,622297
SMA NEGERI 21 BANDUNG;-6,956903064547836/ 107,67126437316011;-6,956903065;107,6712644
SMA NEGERI 22 BANDUNG;-6,942237877245457/ 107,63087493229777;-6,942237877;107,6308749
SMA NEGERI 23 BANDUNG;-6,912885474824536/ 107,66475430766972;-6,912885475;107,6647543
SMA NEGERI 24 BANDUNG;-6,908370170604427/ 107,68864315893939;-6,908370171;107,6886432
SMA NEGERI 25 BANDUNG;-6,9662038711847005/ 107,66548757130585;-6,966203871;107,6654876
SMA NEGERI 26 BANDUNG;-6,917460827545275/ 107,72500437216056;-6,917460828;107,7250044
SMA NEGERI 27 BANDUNG;-6,958850837658903/ 107,7073436870973;-6,958850838;107,7073437
