sekolah_jalur;kuota
SMAN 1 BANDUNG - ABK;1
SMAN 1 BANDUNG - KETM;50
SMAN 1 BANDUNG - KONDISI TERTENTU;17
SMAN 1 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;17
SMAN 1 BANDUNG - PRESTASI KEJUARAAN;17
SMAN 1 BANDUNG - PRESTASI RAPOR;68
SMAN 1 BANDUNG - ZONASI;170
SMAN 10 BANDUNG - ABK;2
SMAN 10 BANDUNG - KETM;74
SMAN 10 BANDUNG - KONDISI TERTENTU;4
SMAN 10 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;20
SMAN 10 BANDUNG - PRESTASI KEJUARAAN;20
SMAN 10 BANDUNG - PRESTASI RAPOR;80
SMAN 10 BANDUNG - ZONASI;200
SMAN 11 BANDUNG - ABK;0
SMAN 11 BANDUNG - KETM;63
SMAN 11 BANDUNG - KONDISI TERTENTU;17
SMAN 11 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;20
SMAN 11 BANDUNG - PRESTASI KEJUARAAN;20
SMAN 11 BANDUNG - PRESTASI RAPOR;80
SMAN 11 BANDUNG - ZONASI;200
SMAN 12 BANDUNG - ABK;1
SMAN 12 BANDUNG - KETM;47
SMAN 12 BANDUNG - KONDISI TERTENTU;16
SMAN 12 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;16
SMAN 12 BANDUNG - PRESTASI KEJUARAAN;16
SMAN 12 BANDUNG - PRESTASI RAPOR;65
SMAN 12 BANDUNG - ZONASI;162
SMAN 13 BANDUNG - ABK;1
SMAN 13 BANDUNG - KETM;63
SMAN 13 BANDUNG - KONDISI TERTENTU;10
SMAN 13 BANDUNG - PERPINDAHAN TUGAS ORTU / ANAK GURU;13
SMAN 13 BANDUNG - PRESTASI KEJUARAAN;16
SMAN 13 BANDUNG - PRESTASI RAPOR;72
SMAN 13 BANDUNG - ZONASI;175
SMAN 14 BANDUNG - ABK;0
SMAN 14 BANDUNG - KETM;36
SMAN 14 BANDUNG - KONDISI TERTENTU;7
